concelho,month,year,sum
Abrantes,1,2005,0.505
Abrantes,1,2006,3.0
Abrantes,1,2007,0.016
Abrantes,1,2010,0.0
Abrantes,1,2011,2.0
Abrantes,1,2012,0.5587000000000001
Abrantes,2,2001,3.0
Abrantes,2,2002,2.5
Abrantes,2,2003,0.003
Abrantes,2,2004,0.2
Abrantes,2,2005,1.816
Abrantes,2,2006,0.02
Abrantes,2,2007,0.001
Abrantes,2,2008,0.1112
Abrantes,2,2009,0.09
Abrantes,2,2011,0.078
Abrantes,2,2012,7.636
Abrantes,2,2013,0.1766
Abrantes,3,2003,2.5
Abrantes,3,2004,4.5
Abrantes,3,2005,1.02
Abrantes,3,2006,0.0605
Abrantes,3,2007,0.07500000000000001
Abrantes,3,2008,0.6401
Abrantes,3,2009,0.11
Abrantes,3,2010,0.015
Abrantes,3,2011,0.008
Abrantes,3,2012,0.9703999999999998
Abrantes,3,2014,0.1164
Abrantes,4,2001,51.161
Abrantes,4,2002,3.08
Abrantes,4,2003,1.5359999999999998
Abrantes,4,2004,2.0
Abrantes,4,2005,0.8714999999999999
Abrantes,4,2006,0.001
Abrantes,4,2007,0.15000000000000002
Abrantes,4,2008,0.015
Abrantes,4,2009,0.842
Abrantes,4,2010,0.07
Abrantes,4,2011,0.151
Abrantes,4,2012,0.1687
Abrantes,4,2013,0.06
Abrantes,4,2014,0.0
Abrantes,5,2001,7.945
Abrantes,5,2002,5.5001
Abrantes,5,2003,0.315
Abrantes,5,2005,4.5736
Abrantes,5,2006,0.5735
Abrantes,5,2007,0.226
Abrantes,5,2008,0.0032
Abrantes,5,2009,2.605
Abrantes,5,2010,0.15800000000000003
Abrantes,5,2011,1.005
Abrantes,5,2012,0.0015
Abrantes,5,2013,0.011
Abrantes,5,2014,0.6605
Abrantes,6,2001,62.985
Abrantes,6,2002,7.103999999999999
Abrantes,6,2003,8.042
Abrantes,6,2004,592.088
Abrantes,6,2005,7.9778
Abrantes,6,2006,1.1570999999999998
Abrantes,6,2007,0.19300000000000003
Abrantes,6,2008,0.01
Abrantes,6,2009,5.3885000000000005
Abrantes,6,2010,1.7539999999999998
Abrantes,6,2011,1.4271
Abrantes,6,2012,1.8979999999999997
Abrantes,6,2013,3.9962
Abrantes,6,2014,0.478
Abrantes,7,2001,40.31870000000001
Abrantes,7,2002,57.498
Abrantes,7,2003,219.109
Abrantes,7,2004,541.2117999999996
Abrantes,7,2005,12.237499999999999
Abrantes,7,2006,30.257
Abrantes,7,2007,19.0535
Abrantes,7,2008,3.9519999999999995
Abrantes,7,2009,12.130200000000002
Abrantes,7,2010,5.582899999999998
Abrantes,7,2011,8.487499999999999
Abrantes,7,2012,68.2064
Abrantes,7,2013,19.27419999999999
Abrantes,7,2014,12.768500000000001
Abrantes,8,2001,13.673799999999998
Abrantes,8,2002,29.909000000000002
Abrantes,8,2003,15492.368
Abrantes,8,2004,1.6560000000000001
Abrantes,8,2005,7497.4925
Abrantes,8,2006,6.2332
Abrantes,8,2007,15.989499999999998
Abrantes,8,2008,26.775000000000002
Abrantes,8,2009,8.9681
Abrantes,8,2010,10.624999999999998
Abrantes,8,2011,62.06300000000001
Abrantes,8,2012,43.53320000000001
Abrantes,8,2013,5.378799999999999
Abrantes,8,2014,13.2778
Abrantes,9,2001,43.460499999999996
Abrantes,9,2002,0.15700000000000003
Abrantes,9,2003,339.05699999999996
Abrantes,9,2004,11.3162
Abrantes,9,2005,118.49959999999999
Abrantes,9,2006,1.1001
Abrantes,9,2007,0.06129999999999999
Abrantes,9,2008,1.9829999999999999
Abrantes,9,2009,1.8619999999999999
Abrantes,9,2010,3.9093999999999998
Abrantes,9,2011,1.0336
Abrantes,9,2012,6.790499999999998
Abrantes,9,2013,1.5653
Abrantes,9,2014,0.2719
Abrantes,10,2001,0.07
Abrantes,10,2003,0.005
Abrantes,10,2004,3.22
Abrantes,10,2005,1.0
Abrantes,10,2007,1.1909999999999998
Abrantes,10,2008,12.615499999999999
Abrantes,10,2009,1.342
Abrantes,10,2010,5.484999999999999
