concelho,month,year,sum
Abrantes,1,2017,0.1909
Abrantes,1,2019,0.1543
Abrantes,1,2021,0.02
Abrantes,2,2015,0.4731
Abrantes,2,2017,0.2869
Abrantes,2,2018,2.4216
Abrantes,2,2020,0.116
Abrantes,3,2015,8.912999999999998
Abrantes,3,2017,2.4201
Abrantes,3,2018,0.2322
Abrantes,3,2019,0.023
Abrantes,3,2020,0.6
Abrantes,3,2021,2.155
Abrantes,4,2015,0.43520000000000003
Abrantes,4,2016,1.8398999999999999
Abrantes,4,2017,0.873
Abrantes,4,2018,3.313
Abrantes,4,2019,1.8323
Abrantes,4,2021,0.913
Abrantes,5,2015,1.6507999999999998
Abrantes,5,2017,0.1378
Abrantes,5,2018,0.0558
Abrantes,5,2019,2.1203999999999996
Abrantes,5,2020,0.1464
Abrantes,5,2021,2.7293000000000003
Abrantes,6,2015,8.1247
Abrantes,6,2016,0.329
Abrantes,6,2017,81.2506
Abrantes,6,2018,0.0017
Abrantes,6,2019,5.341200000000001
Abrantes,6,2020,22.477599999999995
Abrantes,6,2021,0.11739999999999999
Abrantes,7,2015,14.171740000000002
Abrantes,7,2016,43.03940000000001
Abrantes,7,2017,154.20499999999996
Abrantes,7,2018,0.7643000000000001
Abrantes,7,2019,11.008499999999998
Abrantes,7,2020,284.1019
Abrantes,7,2021,1.9579000000000002
Abrantes,8,2015,2.9443000000000006
Abrantes,8,2016,2337.9446000000003
Abrantes,8,2017,4665.913
Abrantes,8,2018,9.426049999999998
Abrantes,8,2019,20.768099999999997
Abrantes,8,2020,62.8305
Abrantes,8,2021,11.074699999999998
Abrantes,9,2015,8.202991
Abrantes,9,2016,0.5033000000000001
Abrantes,9,2017,15.516100000000002
Abrantes,9,2018,2.9903
Abrantes,9,2019,1.589
Abrantes,9,2020,4.8529
Abrantes,10,2015,1.1381
Abrantes,10,2016,0.7276
Abrantes,10,2017,4.838500000000001
Abrantes,10,2018,1.12694
Abrantes,10,2019,0.0943
Abrantes,10,2020,0.1777
Abrantes,11,2015,0.166
Abrantes,11,2016,0.0025
Abrantes,11,2017,0.1743
Abrantes,11,2018,0.0085
Abrantes,11,2020,0.101
Abrantes,12,2017,0.7203
Aguiar da Beira,1,2017,0.2
Aguiar da Beira,2,2018,0.7
Aguiar da Beira,2,2020,0.7
Aguiar da Beira,3,2017,0.12
Aguiar da Beira,3,2019,1.16
Aguiar da Beira,4,2017,0.001
Aguiar da Beira,4,2018,1.5
Aguiar da Beira,5,2018,1.5815000000000001
Aguiar da Beira,6,2015,0.2
Aguiar da Beira,6,2016,0.01
Aguiar da Beira,6,2021,0.325
Aguiar da Beira,7,2015,0.547
Aguiar da Beira,7,2016,3.0
Aguiar da Beira,7,2017,0.10400000000000001
Aguiar da Beira,7,2019,0.041
Aguiar da Beira,7,2020,0.451
Aguiar da Beira,8,2015,0.060000000000000005
Aguiar da Beira,8,2016,137.908
Aguiar da Beira,8,2017,0.07
Aguiar da Beira,8,2018,0.12
Aguiar da Beira,8,2019,0.1198
